# Source: https://www.ons.gov.uk/
# https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/july2023
# Copyright: Open Government Licence 3.0 https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/ . 
#"Figure 8: UK inflation remains above that of France and Germany"
#"CPI compared with selected G7 and EU annual inflation rates
#""
#"Notes"

#2. There are some differences in the definition of the US HICP that may limit comparison; more information is available in [Comparing US and European inflation: the CPI and the HICP from the US Bureau of Labor Statistics (PDF
#"Unit"
#""
#"","US - HICP"
"Jul 2013","1.8"
"Aug 2013","1.3"
"Sep 2013","0.8"
"Oct 2013","0.5"
"Nov 2013","0.9"
"Dec 2013","1.2"
"Jan 2014","1.3"
"Feb 2014","0.7"
"Mar 2014","1.2"
"Apr 2014","1.8"
"May 2014","2.0"
"Jun 2014","1.9"
"Jul 2014","1.8"
"Aug 2014","1.4"
"Sep 2014","1.4"
"Oct 2014","1.3"
"Nov 2014","0.9"
"Dec 2014","0.2"
"Jan 2015","-0.9"
"Feb 2015","-0.9"
"Mar 2015","-0.9"
"Apr 2015","-1.1"
"May 2015","-0.9"
"Jun 2015","-0.8"
"Jul 2015","-0.7"
"Aug 2015","-0.7"
"Sep 2015","-1.0"
"Oct 2015","-0.8"
"Nov 2015","-0.3"
"Dec 2015","0.0"
"Jan 2016","0.8"
"Feb 2016","0.3"
"Mar 2016","0.1"
"Apr 2016","0.5"
"May 2016","0.3"
"Jun 2016","0.2"
"Jul 2016","0.0"
"Aug 2016","0.3"
"Sep 2016","0.8"
"Oct 2016","1.0"
"Nov 2016","1.1"
"Dec 2016","1.6"
"Jan 2017","2.1"
"Feb 2017","2.5"
"Mar 2017","2.0"
"Apr 2017","1.8"
"May 2017","1.4"
"Jun 2017","1.1"
"Jul 2017","1.3"
"Aug 2017","1.5"
"Sep 2017","1.9"
"Oct 2017","1.7"
"Nov 2017","1.9"
"Dec 2017","1.8"
"Jan 2018","1.7"
"Feb 2018","1.9"
"Mar 2018","2.1"
"Apr 2018","2.2"
"May 2018","2.6"
"Jun 2018","2.7"
"Jul 2018","2.8"
"Aug 2018","2.5"
"Sep 2018","2.0"
"Oct 2018","2.3"
"Nov 2018","1.8"
"Dec 2018","1.5"
"Jan 2019","1.1"
"Feb 2019","1.0"
"Mar 2019","1.4"
"Apr 2019","1.6"
"May 2019","1.3"
"Jun 2019","1.1"
"Jul 2019","1.4"
"Aug 2019","1.3"
"Sep 2019","1.2"
"Oct 2019","1.3"
"Nov 2019","1.7"
"Dec 2019","2.0"
"Jan 2020","2.2"
"Feb 2020","2.1"
"Mar 2020","1.0"
"Apr 2020","-0.5"
"May 2020","-0.7"
"Jun 2020","0.0"
"Jul 2020","0.5"
"Aug 2020","0.9"
"Sep 2020","1.0"
"Oct 2020","0.8"
"Nov 2020","0.9"
"Dec 2020","1.1"
"Jan 2021","1.2"
"Feb 2021","1.6"
"Mar 2021","2.8"
"Apr 2021","4.8"
"May 2021","5.9"
"Jun 2021","6.3"
"Jul 2021","6.2"
"Aug 2021","6.1"
"Sep 2021","6.1"
"Oct 2021","7.1"
"Nov 2021","7.8"
"Dec 2021","8.0"
"Jan 2022","8.5"
"Feb 2022","8.9"
"Mar 2022","9.8"
"Apr 2022","9.3"
"May 2022","9.6"
"Jun 2022","10.1"
"Jul 2022","9.3"
"Aug 2022","8.8"
"Sep 2022","8.7"
"Oct 2022","8.0"
"Nov 2022","7.1"
"Dec 2022","6.1"
"Jan 2023","6.0"
"Feb 2023","5.3"
"Mar 2023","3.9"
"Apr 2023","3.8"
"May 2023","2.7"
"Jun 2023","1.4"
"Jul 2023",""
